Left Hand Side,Right Hand Side,Support,Confidence,Lift,Support_abs
Aveia Descascada » 4kg,Niger » 700Gr.,0.0011434492862375158,0.10526315789473684,15.223990208078336,64
Art.134 - Bebedouro Sifone Firenze - 200ml (Azul),Comedouro/Bebedouro Cristal,0.0009290525450679816,0.10743801652892562,15.109078450101748,52
Canto Alegre - Perilha (800Gr),Aveia Descascada » 4kg,0.0005717246431187579,0.16243654822335024,14.953513224686079,32
Nutribird - Gold Patee Gr. Periquitos & Papagaios    1kg,Pet Cup - Mistura Agapornis Premium » 20KG,0.0006074574333136803,0.10625000000000001,13.766015625000001,34
Canhamo p/Aves » 600Gr.,Aveia Descascada » 4kg,0.0009826517303603653,0.14705882352941177,13.537877321981425,55
Pet Cup - Mistura Papagaios Premium (20kg),Pet Cup - Mistura Psitacideos Profissional (20Kg),0.0008933197548730593,0.12468827930174564,13.142989982670443,50
Pet Cup - Mistura Periquitos Standard » 20kg,Pet Cup - Mistura Psitacideos Profissional (20Kg),0.0005181254578263744,0.12083333333333333,12.736652542372882,29
Aveia Descascada » 4kg,Perilha Branca » 3kg,0.0013935788176019724,0.1282894736842105,11.675593709884467,78
Pet Cup - Alpista Simples 4kg,Aveia Descascada » 4kg,0.0008575869646781369,0.12403100775193798,11.41799265605875,48
Easyyem - Papa Amarela Canários Porte (5kg),Grit + Coral » 2.5kg,0.0005181254578263744,0.12033195020746888,7.067260844766255,29
Pet Cup - Germinar Branco p/ Canários » 4kg,Pet Cup - Mistura Canários Mosaico Premium (20kg),0.0010362509156527488,0.10507246376811595,7.026297335203366,58
Milho Alvo em Cacho (1kg),Grit + Coral » 2.5kg,0.0005538582480212967,0.11832061068702289,6.949132109930072,31
Grit + Coral » 2.5kg,Pet Cup - Mistura Canários Mosaico Premium (20kg),0.0017151739293562738,0.10073452256033578,6.736215008631486,96
Nutribird - Gold Patee Gr. Periquitos & Papagaios    1kg,Grit + Coral » 2.5kg,0.0005717246431187579,0.1,5.873137460650578,32
